serial,year,district,area,rent,pop_now,pop_prev,pop_2yr_ago,airbnb_now,airbnb_prev,airbnb_2yr_ago,airden_now,airden_prev,airden_2yr_ago,popden_now,popden_prev,popden_2yr_ago,adp_now,adp_prev,adp_2yr_ago
1,2018,Arnavutkoy,506.55,1041,270549,261655,247507,6,2,3,0.00002218,0.00000764,0.00001212,534,517,489,0.002218,0.000764,0.001212
2,2018,Atasehir,25.2,1902,416318,423372,422513,109,61,82,0.00026182,0.00014408,0.00019408,16521,16800,16766,0.026182,0.014408,0.019408
3,2018,Avcilar,42.01,1357,435625,435682,430770,40,28,23,0.00009182,0.00006427,0.00005339,10370,10371,10254,0.009182,0.006427,0.005339
4,2018,Bagcilar,22.36,1379,734369,748483,751510,55,34,31,0.00007489,0.00004543,0.00004125,32843,33474,33610,0.007489,0.004543,0.004125
5,2018,Bahcelievler,16.62,1500,594053,598454,598097,47,37,52,0.00007912,0.00006183,0.00008694,35743,36008,35987,0.007912,0.006183,0.008694
6,2018,Bakirkoy,29.64,3302,222667,222370,222437,57,74,98,0.00025599,0.00033278,0.00044057,7512,7502,7505,0.025599,0.033278,0.044057
7,2018,Basaksehir,104.3,1924,427835,396729,369810,74,46,48,0.00017296,0.00011595,0.0001298,4102,3804,3546,0.017296,0.011595,0.01298
8,2018,Bayrampasa,9.61,1173,271073,274197,273148,5,14,20,0.00001845,0.00005106,0.00007322,28207,28532,28423,0.001845,0.005106,0.007322
9,2018,Besiktas,18.01,5833,181074,185447,189356,520,566,654,0.00287175,0.00305208,0.00345381,10054,10297,10514,0.287175,0.305208,0.345381
10,2018,Beykoz,310.36,2501,246700,251087,250410,35,27,33,0.00014187,0.00010753,0.00013178,795,809,807,0.014187,0.010753,0.013178
11,2018,Beylikduzu,37.78,1504,331525,314662,297413,27,29,27,0.00008144,0.00009216,0.00009078,8775,8329,7872,0.008144,0.009216,0.009078
12,2018,Beyoglu,8.91,2959,230526,236606,238762,"2,267","2,123","2,649",0.00983403,0.00897272,0.01109473,25873,26555,26797,0.983403,0.897272,1.109473
13,2018,Buyukcekmece,157.72,1573,247736,243474,237185,64,39,40,0.00025834,0.00016018,0.00016864,1571,1544,1504,0.025834,0.016018,0.016864
14,2018,Catalca,1040.38,839,72966,69057,68934,5,10,8,0.00006853,0.00014481,0.00011605,70,66,66,0.006853,0.014481,0.011605
15,2018,Cekmekoy,148.16,1209,251937,248859,239611,17,16,17,0.00006748,0.00006429,0.00007095,1700,1680,1617,0.006748,0.006429,0.007095
16,2018,Esenler,18.43,1024,444561,454569,457231,9,3,3,0.00002024,0.0000066,0.00000656,24122,24665,24809,0.002024,0.00066,0.000656
17,2018,Esenyurt,43.13,1217,891120,846492,795010,191,140,115,0.00021434,0.00016539,0.00014465,20661,19627,18433,0.021434,0.016539,0.014465
18,2018,Eyupsultan,228.42,2461,383909,381114,377650,46,33,30,0.00011982,0.00008659,0.00007944,1681,1668,1653,0.011982,0.008659,0.007944
19,2018,Fatih,15.59,1392,436539,433873,417285,729,865,"1,110",0.00166995,0.00199367,0.00266005,28001,27830,26766,0.166995,0.199367,0.266005
20,2018,Gaziosmanpasa,11.76,1519,487046,497959,499766,30,21,18,0.0000616,0.00004217,0.00003602,41415,42343,42497,0.00616,0.004217,0.003602
21,2018,Gungoren,7.21,1503,289331,296967,298509,21,29,26,0.00007258,0.00009765,0.0000871,40129,41188,41402,0.007258,0.009765,0.00871
22,2018,Kadikoy,25.09,2881,458638,451453,452302,541,368,377,0.00117958,0.00081515,0.00083351,18280,17993,18027,0.117958,0.081515,0.083351
23,2018,Kagithane,14.87,1478,437026,442694,439685,109,71,84,0.00024941,0.00016038,0.00019105,29390,29771,29569,0.024941,0.016038,0.019105
24,2018,Kartal,38.54,1503,461155,463433,459298,38,21,31,0.0000824,0.00004531,0.00006749,11966,12025,11917,0.00824,0.004531,0.006749
25,2018,Kucukcekmece,37.54,1533,770316,770392,766609,44,44,49,0.00005712,0.00005711,0.00006392,20520,20522,20421,0.005712,0.005711,0.006392
26,2018,Maltepe,52.97,1680,497034,497586,490151,86,66,69,0.00017303,0.00013264,0.00014077,9383,9394,9253,0.017303,0.013264,0.014077
27,2018,Pendik,179.99,1205,693599,698260,691681,46,42,59,0.00006632,0.00006015,0.0000853,3854,3879,3843,0.006632,0.006015,0.00853
28,2018,Sancaktepe,62.42,1305,414143,402391,377047,10,4,5,0.00002415,0.00000994,0.00001326,6635,6447,6040,0.002415,0.000994,0.001326
29,2018,Sariyer,151.3,5301,342503,344876,342753,105,117,134,0.00030657,0.00033925,0.00039095,2264,2279,2265,0.030657,0.033925,0.039095
30,2018,Sile,781.72,1432,36516,35131,34241,30,33,30,0.00082156,0.00093934,0.00087614,47,45,44,0.082156,0.093934,0.087614
31,2018,Silivri,869.52,1214,187621,180524,170523,19,12,5,0.00010127,0.00006647,0.00002932,216,208,196,0.010127,0.006647,0.002932
32,2018,Sisli,34.8,2267,274289,274196,272803,935,768,911,0.00340881,0.00280092,0.00333941,7882,7879,7839,0.340881,0.280092,0.333941
33,2018,Sultanbeyli,29.1,1146,327798,329985,324709,7,3,6,0.00002135,0.00000909,0.00001848,11265,11340,11158,0.002135,0.000909,0.001848
34,2018,Sultangazi,36.3,1007,523765,528514,525090,6,1,3,0.00001146,0.00000189,0.00000571,14429,14560,14465,0.001146,0.000189,0.000571
35,2018,Tuzla,123.63,1363,255459,252922,242222,22,14,19,0.00008612,0.00005535,0.00007844,2066,2046,1959,0.008612,0.005535,0.007844
36,2018,Umraniye,45.31,1440,690193,699897,694154,33,24,26,0.00004781,0.00003429,0.00003746,15233,15447,15320,0.004781,0.003429,0.003746
37,2018,Uskudar,35.33,1789,529145,533570,535537,163,126,164,0.00030804,0.00023615,0.00030623,14977,15102,15158,0.030804,0.023615,0.030623
38,2018,Zeytinburnu,11.59,1918,284935,287378,287897,34,17,24,0.00011933,0.00005916,0.00008336,24585,24795,24840,0.011933,0.005916,0.008336
39,2019,Arnavutkoy,506.55,1132,282488,270549,261655,21,6,2,0.00007434,0.00002218,0.00000764,558,534,517,0.007434,0.002218,0.000764
40,2019,Atasehir,25.2,1891,425094,416318,423372,174,109,61,0.00040932,0.00026182,0.00014408,16869,16521,16800,0.040932,0.026182,0.014408
41,2019,Avcilar,42.01,1618,448882,435625,435682,95,40,28,0.00021164,0.00009182,0.00006427,10685,10370,10371,0.021164,0.009182,0.006427
42,2019,Bagcilar,22.36,1491,745125,734369,748483,78,55,34,0.00010468,0.00007489,0.00004543,33324,32843,33474,0.010468,0.007489,0.004543
43,2019,Bahcelievler,16.62,1637,611059,594053,598454,80,47,37,0.00013092,0.00007912,0.00006183,36766,35743,36008,0.013092,0.007912,0.006183
44,2019,Bakirkoy,29.64,3646,229239,222667,222370,121,57,74,0.00052783,0.00025599,0.00033278,7734,7512,7502,0.052783,0.025599,0.033278
45,2019,Basaksehir,104.3,2423,460259,427835,396729,197,74,46,0.00042802,0.00017296,0.00011595,4413,4102,3804,0.042802,0.017296,0.011595
46,2019,Bayrampasa,9.61,1527,274735,271073,274197,8,5,14,0.00002912,0.00001845,0.00005106,28588,28207,28532,0.002912,0.001845,0.005106
47,2019,Besiktas,18.01,6353,182649,181074,185447,767,520,566,0.00419931,0.00287175,0.00305208,10142,10054,10297,0.419931,0.287175,0.305208
48,2019,Beykoz,310.36,2357,248260,246700,251087,50,35,27,0.0002014,0.00014187,0.00010753,800,795,809,0.02014,0.014187,0.010753
49,2019,Beylikduzu,37.78,1885,352412,331525,314662,62,27,29,0.00017593,0.00008144,0.00009216,9328,8775,8329,0.017593,0.008144,0.009216
50,2019,Beyoglu,8.91,3320,233323,230526,236606,"3,678","2,267","2,123",0.01576356,0.00983403,0.00897272,26187,25873,26555,1.576356,0.983403,0.897272
51,2019,Buyukcekmece,157.72,1842,254103,247736,243474,75,64,39,0.00029516,0.00025834,0.00016018,1611,1571,1544,0.029516,0.025834,0.016018
52,2019,Catalca,1040.38,1374,73718,72966,69057,9,5,10,0.00012209,0.00006853,0.00014481,71,70,66,0.012209,0.006853,0.014481
53,2019,Cekmekoy,148.16,1219,264508,251937,248859,17,17,16,0.00006427,0.00006748,0.00006429,1785,1700,1680,0.006427,0.006748,0.006429
54,2019,Esenler,18.43,1350,450344,444561,454569,7,9,3,0.00001554,0.00002024,0.0000066,24435,24122,24665,0.001554,0.002024,0.00066
55,2019,Esenyurt,43.13,1598,954579,891120,846492,342,191,140,0.00035827,0.00021434,0.00016539,22133,20661,19627,0.035827,0.021434,0.016539
56,2019,Eyupsultan,228.42,2652,400513,383909,381114,99,46,33,0.00024718,0.00011982,0.00008659,1753,1681,1668,0.024718,0.011982,0.008659
57,2019,Fatih,15.59,1840,443090,436539,433873,"1,117",729,865,0.00252093,0.00166995,0.00199367,28421,28001,27830,0.252093,0.166995,0.199367
58,2019,Gaziosmanpasa,11.76,1404,491962,487046,497959,41,30,21,0.00008334,0.0000616,0.00004217,41834,41415,42343,0.008334,0.00616,0.004217
59,2019,Gungoren,7.21,1688,289441,289331,296967,24,21,29,0.00008292,0.00007258,0.00009765,40144,40129,41188,0.008292,0.007258,0.009765
60,2019,Kadikoy,25.09,3158,482713,458638,451453,815,541,368,0.00168837,0.00117958,0.00081515,19239,18280,17993,0.168837,0.117958,0.081515
61,2019,Kagithane,14.87,1652,448025,437026,442694,205,109,71,0.00045756,0.00024941,0.00016038,30129,29390,29771,0.045756,0.024941,0.016038
62,2019,Kartal,38.54,1584,470676,461155,463433,89,38,21,0.00018909,0.0000824,0.00004531,12213,11966,12025,0.018909,0.00824,0.004531
63,2019,Kucukcekmece,37.54,1854,792820,770316,770392,73,44,44,0.00009208,0.00005712,0.00005711,21119,20520,20522,0.009208,0.005712,0.005711
64,2019,Maltepe,52.97,1725,513316,497034,497586,137,86,66,0.00026689,0.00017303,0.00013264,9691,9383,9394,0.026689,0.017303,0.013264
65,2019,Pendik,179.99,1306,711894,693599,698260,64,46,42,0.0000899,0.00006632,0.00006015,3955,3854,3879,0.00899,0.006632,0.006015
66,2019,Sancaktepe,62.42,1438,436733,414143,402391,23,10,4,0.00005266,0.00002415,0.00000994,6997,6635,6447,0.005266,0.002415,0.000994
67,2019,Sariyer,151.3,5691,347214,342503,344876,146,105,117,0.00042049,0.00030657,0.00033925,2295,2264,2279,0.042049,0.030657,0.033925
68,2019,Sile,781.72,1505,37692,36516,35131,70,30,33,0.00185716,0.00082156,0.00093934,48,47,45,0.185716,0.082156,0.093934
69,2019,Silivri,869.52,1260,193680,187621,180524,34,19,12,0.00017555,0.00010127,0.00006647,223,216,208,0.017555,0.010127,0.006647
70,2019,Sisli,34.8,2670,279817,274289,274196,"1,536",935,768,0.0054893,0.00340881,0.00280092,8041,7882,7879,0.54893,0.340881,0.280092
71,2019,Sultanbeyli,29.1,1270,336021,327798,329985,9,7,3,0.00002678,0.00002135,0.00000909,11547,11265,11340,0.002678,0.002135,0.000909
72,2019,Sultangazi,36.3,1177,534565,523765,528514,6,6,1,0.00001122,0.00001146,0.00000189,14726,14429,14560,0.001122,0.001146,0.000189
73,2019,Tuzla,123.63,1435,267396,255459,252922,38,22,14,0.00014211,0.00008612,0.00005535,2163,2066,2046,0.014211,0.008612,0.005535
74,2019,Umraniye,45.31,1470,710280,690193,699897,89,33,24,0.0001253,0.00004781,0.00003429,15676,15233,15447,0.01253,0.004781,0.003429
75,2019,Uskudar,35.33,1896,531825,529145,533570,219,163,126,0.00041179,0.00030804,0.00023615,15053,14977,15102,0.041179,0.030804,0.023615
76,2019,Zeytinburnu,11.59,1882,293574,284935,287378,53,34,17,0.00018053,0.00011933,0.00005916,25330,24585,24795,0.018053,0.011933,0.005916
77,2020,Arnavutkoy,506.55,1252,296709,282488,270549,33,21,6,0.00011122,0.00007434,0.00002218,586,558,534,0.011122,0.007434,0.002218
78,2020,Atasehir,25.2,2061,422594,425094,416318,194,174,109,0.00045907,0.00040932,0.00026182,16770,16869,16521,0.045907,0.040932,0.026182
79,2020,Avcilar,42.01,2068,436897,448882,435625,123,95,40,0.00028153,0.00021164,0.00009182,10400,10685,10370,0.028153,0.021164,0.009182
80,2020,Bagcilar,22.36,1643,737206,745125,734369,156,78,55,0.00021161,0.00010468,0.00007489,32970,33324,32843,0.021161,0.010468,0.007489
81,2020,Bahcelievler,16.62,1817,592371,611059,594053,68,80,47,0.00011479,0.00013092,0.00007912,35642,36766,35743,0.011479,0.013092,0.007912
82,2020,Bakirkoy,29.64,3934,226229,229239,222667,113,121,57,0.00049949,0.00052783,0.00025599,7633,7734,7512,0.049949,0.052783,0.025599
83,2020,Basaksehir,104.3,2765,469924,460259,427835,216,197,74,0.00045965,0.00042802,0.00017296,4506,4413,4102,0.045965,0.042802,0.017296
84,2020,Bayrampasa,9.61,1851,269950,274735,271073,7,8,5,0.00002593,0.00002912,0.00001845,28091,28588,28207,0.002593,0.002912,0.001845
85,2020,Besiktas,18.01,4712,176513,182649,181074,733,767,520,0.00415267,0.00419931,0.00287175,9801,10142,10054,0.415267,0.419931,0.287175
86,2020,Beykoz,310.36,2513,246110,248260,246700,52,50,35,0.00021129,0.0002014,0.00014187,793,800,795,0.021129,0.02014,0.014187
87,2020,Beylikduzu,37.78,2486,365564,352412,331525,74,62,27,0.00020243,0.00017593,0.00008144,9676,9328,8775,0.020243,0.017593,0.008144
88,2020,Beyoglu,8.91,2870,226396,233323,230526,"4,010","3,678","2,267",0.01771233,0.01576356,0.00983403,25409,26187,25873,1.771233,1.576356,0.983403
89,2020,Buyukcekmece,157.72,2274,257362,254103,247736,68,75,64,0.00026422,0.00029516,0.00025834,1632,1611,1571,0.026422,0.029516,0.025834
90,2020,Catalca,1040.38,1207,74975,73718,72966,15,9,5,0.00020007,0.00012209,0.00006853,72,71,70,0.020007,0.012209,0.006853
91,2020,Cekmekoy,148.16,1398,273658,264508,251937,22,17,17,0.00008039,0.00006427,0.00006748,1847,1785,1700,0.008039,0.006427,0.006748
92,2020,Esenler,18.43,1582,446276,450344,444561,5,7,9,0.0000112,0.00001554,0.00002024,24215,24435,24122,0.00112,0.001554,0.002024
93,2020,Esenyurt,43.13,1812,957398,954579,891120,482,342,191,0.00050345,0.00035827,0.00021434,22198,22133,20661,0.050345,0.035827,0.021434
94,2020,Eyupsultan,228.42,2266,405845,400513,383909,112,99,46,0.00027597,0.00024718,0.00011982,1777,1753,1681,0.027597,0.024718,0.011982
95,2020,Fatih,15.59,2009,396584,443090,436539,"1,184","1,117",729,0.0029855,0.00252093,0.00166995,25438,28421,28001,0.29855,0.252093,0.166995
